,startstationlatitude,startstationlongitude,startstationname,startstationid
106,40.6765304,-73.97846879,Berkeley Pl & 6 Ave,3339
107,40.7190095,-73.95852515,Berry St & N 8 St,3092
108,40.71622644,-73.98261206,Bialystoker Pl & Delancey St,356
109,40.662987,-73.976918,Bike in Movie Night | Prospect Park Bandshell,3432
110,40.6728064122775,-73.9688658714294,Bike The Branches - Central Branch,3253
111,40.6753495306741,-74.0100203454494,Bike The Branches - Red Hook Branch,3252
112,40.70538077,-73.94976519,Boerum St & Broadway,3071
113,40.6849668,-73.98620772,Bond St & Bergen St,3411
114,40.6896218879033,-73.9830426871777,Bond St & Fulton St,3232
115,40.68807003,-73.98410637,Bond St & Schermerhorn St,395
116,40.70365182,-74.01167797,Broad St & Bridge St,260
117,40.70463334,-74.01361706,Broadway & Battery Pl,304
118,40.71044554,-73.96525063,Broadway & Berry St,389
119,40.73454567,-73.99074142,Broadway & E 14 St,285
120,40.7403432,-73.98955109,Broadway & E 22 St,402
121,40.70925562,-73.95982218,Broadway & Roebling St,3078
122,40.7423543,-73.98915076,Broadway & W 24 St,444
123,40.7462009,-73.98855723,Broadway & W 29 St,486
124,40.74854862,-73.98808416,Broadway & W 32 St,498
125,40.75097711,-73.98765428,Broadway & W 36 St,267
126,40.75172632,-73.98753523,Broadway & W 37 St,362
127,40.75299641,-73.98721619,Broadway & W 39 St,533
128,40.75513557,-73.98658032,Broadway & W 41 St,465
129,40.7606832709659,-73.9845272898674,Broadway & W 49 St,173
130,40.76228826,-73.98336183,Broadway & W 51 St,500
131,40.76344058,-73.98268129,Broadway & W 53 St,469
132,40.7652654,-73.98192338,Broadway & W 55 St,468
133,40.76695317,-73.98169333,Broadway & W 58 St,457
134,40.76915505,-73.98191841,Broadway & W 60 St,499
135,40.7016657,-73.9437303,Broadway & Whipple St,3067
136,40.69878,-73.99712,Brooklyn Bridge Park - Pier 2,3180
137,40.7241765,-74.0506564,Brunswick St,3209
138,40.71247661,-73.94100005,Bushwick Ave & Powers St,3083
139,40.701907,-74.013942,Bus Slip & State St,427
140,40.6849894,-73.99440329,Butler St & Court St,3303
141,40.69991755,-73.98971773,Cadman Plaza E & Red Cross Pl,321
142,40.69597683,-73.99014892,Cadman Plaza E & Tillary St,232
143,40.69383,-73.990539,Cadman Plaza West & Montague St,314
144,40.6947570136388,-73.9905273914337,Cadman Plaza W & Pierrepont St,233
145,40.68488,-73.96304,Cambridge Pl & Gates Ave,3049
146,40.71427487,-73.98990025,Canal St & Rutgers St,307
147,40.697787,-73.973736,Carlton Ave & Flushing Ave,242
148,40.69580705,-73.97355569,Carlton Ave & Park Ave,419
149,40.73038599,-74.00214988,Carmine St & 6 Ave,368
150,40.6751622,-73.9814832,Carroll St & 5 Ave,3364
151,40.6740886,-73.9787282,Carroll St & 6 Ave,3361
152,40.6786115,-73.99037292,Carroll St & Bond St,3377
153,40.6830456,-74.00348559,Carroll St & Columbia St,3389
154,40.680611,-73.99475825,Carroll St & Smith St,3382
155,40.804213,-73.96699104,Cathedral Pkwy & Broadway,3383
156,40.71117444,-73.99682619,Catherine St & Monroe St,2009
157,40.74161,-73.96044,Center Blvd & Borden Ave,3120
158,40.7467299,-74.0492509,Central Ave,3215
159,40.799484,-73.955613,Central Park North & Adam Clayton Powell Blvd,3374
160,40.76590936,-73.97634151,Central Park S & 6 Ave,2006
161,40.793393,-73.9635556,Central Park West & W 100 St,3320
162,40.795346,-73.96186,Central Park West & W 102 St,3341
163,40.7734066,-73.97782542,Central Park West & W 68 St,3163
164,40.7757937668367,-73.9762057363987,Central Park West & W 72 St,3165
165,40.77896784,-73.97374737,Central Park West & W 76 St,3160
166,40.78472675,-73.96961715,Central Park West & W 85 St,3168
167,40.79127,-73.964839,Central Park W & W 96 St,3295
168,40.71273266,-74.0046073,Centre St & Chambers St,387
169,40.71494807,-74.00234482,Centre St & Worth St,386
170,40.71219906,-73.97948148,Cherry St,332
171,40.734785818,-74.050443636,Christ Hospital,3212
172,40.73291553,-74.00711384,Christopher St & Greenwich St,358
173,40.7177325,-74.043845,City Hall,3185
174,40.69760127,-73.99344559,Clark St & Henry St,391
175,40.68764484,-73.96968902,Clermont Ave & Lafayette Ave,420
176,40.69573398,-73.97129668,Clermont Ave & Park Ave,421
177,40.722103786686,-73.997249007225,Cleveland Pl & Spring St,151
178,40.70823502,-74.00530063,Cliff St & Fulton St,306
179,40.69794,-73.96986848,Clinton Ave & Flushing Ave,343
180,40.693261,-73.968896,Clinton Ave & Myrtle Ave,366
181,40.6783563,-74.00014502,Clinton St & 4 Place,3396
182,40.67434,-74.00194698,Clinton St & Centre St,3326
183,40.71559509,-73.9870295,Clinton St & Grand St,350
184,40.69239502,-73.99337909,Clinton St & Joralemon St,143
185,40.696192,-73.991218,Clinton St & Tillary St,322
186,40.6831164,-73.99785267,Clinton St & Union St,3321
187,40.677236,-74.015665,Coffey St & Conover St,3348
188,40.70037867,-73.99548059,Columbia Heights & Cranberry St,216
189,40.6970299,-74.0969366,Columbia Park,3216
190,40.6859296,-74.00242364,Columbia St & Degraw St,3422
191,40.68763155,-74.0016256,Columbia St & Kane St,3311
192,40.6747055,-74.0075572,Columbia St & Lorraine St,3333
193,40.71739973,-73.98016555,Columbia St & Rivington St,342
194,40.6769993,-74.00647134,Columbia St & W 9 St,3394
195,40.7969347,-73.9643412291,Columbus Ave & W 103 St,3302
196,40.7770575,-73.97898475,Columbus Ave & W 72 St,3164
197,40.7919557,-73.968087,Columbus Ave & W 95 St,3301
198,40.6812117,-74.00860912,Commerce St & Van Brunt St,3392
199,40.69766564,-73.98476437,Concord St & Bridge St,278
200,40.6881529,-73.99520919,Congress St & Clinton St,3408
201,40.7292364991001,-73.9908680319786,Cooper Square & E 7 St,3263
202,40.6763947,-73.99869893,Court St & Nelson St,3397
203,40.6902375,-73.99203074,Court St & State St,3402
204,40.68753406,-73.97265183,Cumberland St & Lafayette Ave,416
205,40.68312489,-73.97895137,Dean St & 4 Ave,467
206,40.6864442,-73.98759104,Dean St & Hoyt St,3410
