startlat,startlong,1 Ave & E 15 St,1 Ave & E 18 St,1 Ave & E 30 St,1 Ave & E 68 St,11 Ave & W 27 St,12 Ave & W 40 St,5 Ave & E 29 St,6 Ave & W 33 St,8 Ave & W 31 St,8 Ave & W 33 St,9 Ave & W 18 St,9 Ave & W 22 St,Allen St & Hester St,Allen St & Rivington St,Allen St & Stanton St,Bank St & Hudson St,Barrow St & Hudson St,Broadway & Battery Pl,Broadway & E 14 St,Broadway & E 22 St,Broadway & W 24 St,Broadway & W 29 St,Broadway & W 58 St,Broadway & W 60 St,Canal St & Rutgers St,Carmine St & 6 Ave,Christopher St & Greenwich St,Cleveland Pl & Spring St,E 10 St & Avenue A,E 11 St & 1 Ave,E 11 St & 2 Ave,E 12 St & 3 Ave,E 14 St & Avenue B,E 15 St & 3 Ave,E 16 St & 5 Ave,E 17 St & Broadway,E 2 St & Avenue B,E 20 St & 2 Ave,E 20 St & FDR Drive,E 23 St & 1 Ave,E 25 St & 2 Ave,E 3 St & 1 Ave,E 32 St & Park Ave,E 33 St & 2 Ave,E 39 St & 2 Ave,E 4 St & 2 Ave,E 6 St & Avenue B,E 7 St & Avenue A,E 9 St & Avenue C,Elizabeth St & Hester St,Forsyth St & Broome St,Great Jones St,Greenwich Ave & 8 Ave,Greenwich Ave & Charles St,Greenwich St & W Houston St,Greenwich St & Warren St,LaGuardia Pl & W 3 St,Lafayette St & E 8 St,Lafayette St & Jersey St,Lexington Ave & E 24 St,Little West St & 1 Pl,MacDougal St & Prince St,Mott St & Prince St,Pershing Square North,South End Ave & Liberty St,St Marks Pl & 1 Ave,St Marks Pl & 2 Ave,Stanton St & Chrystie St,Suffolk St & Stanton St,University Pl & E 14 St,Vesey Pl & River Terrace,W 13 St & 6 Ave,W 13 St & Hudson St,W 14 St & The High Line,W 15 St & 7 Ave,W 16 St & The High Line,W 17 St & 8 Ave,W 18 St & 6 Ave,W 20 St & 11 Ave,W 20 St & 7 Ave,W 21 St & 6 Ave,W 22 St & 10 Ave,W 22 St & 8 Ave,W 25 St & 6 Ave,W 26 St & 10 Ave,W 26 St & 8 Ave,W 38 St & 8 Ave,W 4 St & 7 Ave S,W Broadway & Spring St,Washington St & Gansevoort St,West St & Chambers St,West Thames St
40.74173969,-73.99415556,0.007874216557517829,0.009069428088343372,0.0073411017404777954,0.0007154282127966619,0.02203612726117226,0.006118719884691756,0.0024747486588760363,0.024241919125257923,0.013749444427420873,0.011304585932790292,0.029620196221039615,0.07321343585760676,0.004551650024212087,0.002079159101944094,0.003140266145130344,0.018071661972951365,0.0131034615528337,0.0015679963445006772,0.005960696935426633,0.006003890380734601,0.009002114875231428,0.005307518218381118,0.004530648045517136,0.0007150332734425697,0.002488764881275216,0.012210029273714194,0.00787204683577515,0.004299277417921541,0.009677196205848525,0.002600725434002045,0.006831456515567772,0.0051509070656488585,0.0026901924643208132,0.01042526017077877,0.01018810622948587,0.01059196546868602,0.0026555217047783707,0.04450420861153115,0.01107098491266231,0.014427966857142786,0.010495571555185167,0.003305684299662739,0.014153407028768777,0.00474036404590827,0.003697152923704421,0.002845075103066699,0.010603809989971503,0.0054803543745565834,0.007459458226821302,0.0034754597605034985,0.004707675774891286,0.007262767270090848,0.01228830906819735,0.022718116784795375,0.0038691299319407527,0.0036824766157734132,0.006208734192251153,0.015014367573816504,0.003015747418220407,0.013789108456336416,0.008411482922172805,0.011818263344566267,0.004135425308887111,0.010116439324001638,0.004499283238617601,0.009622253758814387,0.007188657038489936,0.003653516514703191,0.006038626637250698,0.007942670743659699,0.0010222969119113232,0.00573648112476554,0.02079692065959835,0.009047808759270009,0.021827214384826803,0.015171973897764335,0.01502502722635924,0.002876267068840207,0.02211422845811261,0.007272944457358768,0.007531076562409623,0.05956582092254445,0.03115716292946286,0.0064135953423066884,0.02058014194376184,0.01494739195432773,0.018433544674287403,0.014716181599742235,0.00515916081866638,0.012702389070958798,0.01065552416283853,0.005529398956824219
40.74177603,-74.00149746,0.0020119887357646655,0.003523455010930377,0.0018119733732531484,0.004991932202222264,0.01923521092437016,0.01446950923041287,0.011602136124471953,0.005372027206499854,0.04458261457167424,0.03286180373985408,0.013144156340222602,0.030539125873519746,0.0011155134341121057,0.001710829285286902,0.008833845787544084,0.013668909455284584,0.017180225503811528,0.0014409984523749246,0.005543430246653017,0.01586052374390835,0.01282704605533798,0.013121276700106672,0.029134629040138693,0.006735633678307957,0.00023602966189004902,0.009306228007074634,0.015373804288273181,0.00456869191700677,0.0044740575000882105,0.005114188317572626,0.003971147777432175,0.0051508873321680325,0.0024479271973467127,0.0030109707002633516,0.022128968919231443,0.013299486804841342,0.006039505448047863,0.009139310894725495,0.004677159364023482,0.020787179053741573,0.0035476856935985073,0.003960520101390576,0.009083769567943335,0.0021449514461638615,0.006638832224764421,0.0010952446558691437,0.0064471777713738165,0.003989915735126647,0.0031529030214227927,0.005326001998696724,0.0013945159487138198,0.0074960689587474285,0.008896889858107259,0.0103110200009112,0.01065093355148599,0.017378357955541466,0.006715282356485158,0.004769539039459919,0.0065625664894829565,0.003841024396230928,0.007327628999212563,0.011417517187497629,0.00485152145526236,0.008434364769557568,0.007458483659535412,0.0013336451996254978,0.005018819245564789,0.006030040221116822,0.0016746316879458947,0.010937198578097738,0.012509405298343452,0.005536447563419556,0.011461297135336196,0.004792137494604428,0.007213919446601259,0.015509863482446012,0.01223842625186654,0.012419339660289736,0.057356786399072976,0.014198906321633608,0.014541335680305438,0.02738914057259589,0.0201865006220381,0.012211429461144672,0.029722433844425064,0.028688679650099323,0.04296768539377987,0.010213933907510022,0.010676951074484188,0.0049132743771406135,0.010217282690837633,0.006103433997303434
40.74195138,-74.00803013,0.001116776921512773,0.0015306133955705838,0.00234225572099877,0.0002371677421975432,0.015177181661799167,0.06990570516955749,0.003634871848608294,0.000749438434613838,0.002555055775475407,0.005356087954514139,0.005062300854292448,0.003681123922050756,0.006088101468787967,0.000847243335636757,0.0077138213687729905,0.008381586311012096,0.02800212972559258,0.009532074390838627,0.002563128544703328,0.003623379558493497,0.0022615522195517878,0.006029417590260845,0.007454345655105276,0.0018157773279627927,0.0064834826958518645,0.009910051959479922,0.04672669778555984,0.008900302703881247,0.010762023182471013,0.0005481029133106006,0.006831144593011169,0.010977540673617281,0.003355791728317143,0.002130281954230755,0.00938814559082245,0.005860199366094137,0.0037382327932010215,0.0037394497044660356,0.0020549925422619314,0.0007735656762066174,0.0005555982596517237,0.0065722092767121374,0.0011207270265044264,7.736117455928773e-05,0.0006952659448168845,0.0047603772074589846,0.0033623315977962796,0.0035541281806065503,0.001770619702454158,0.0011214848348492419,0.004587518775476783,0.003984610925252126,0.015259186894959314,0.007514131919809186,0.028939477944801145,0.0608510082702113,0.0017414156250245992,0.0022876078269343297,0.004536016071055941,0.002384948788458866,0.05879777557525153,0.004215657656230019,0.005942560585693376,0.013598607365584442,0.0548240063279003,0.003796944162457437,0.006196521052589475,0.0037005908195944016,0.006978863507506755,0.0061514059831898225,0.03555333394871409,0.0034685529751564063,0.0038263961824334786,0.0237325346628152,0.007628156732415417,0.004584466631669858,0.002742499762256566,0.0067459718077887525,0.023720836537829998,0.005577822963324052,0.006146325337411224,0.012216359105691696,0.007871457145515489,0.001949869691314424,0.019674406849914356,0.004546271410362188,0.009580660598231159,0.014716107229819355,0.009261318500764726,0.009865569206758197,0.09949052872229491,0.039380451953434904
40.7423543,-73.98915076,0.014619089214053672,0.017945802691634958,0.0064928429728491445,0.011776483316810624,0.011123239641921181,0.005973980449778812,0.009883187065732935,0.017936101961756983,0.011471243380319053,0.012638799059914444,0.013569626523726059,0.013728755609906447,0.006135533085390088,0.006991501113246046,0.004381636931863004,0.006204017221545679,0.007248430898678599,0.0019640909240079127,0.014117397264981454,0.007273622939026319,0.011868181261214519,0.018676191921359477,0.008666749226829315,0.006810057850769753,0.005349791635703858,0.008582682235210158,0.010261843323931593,0.013779768476845795,0.007461558476612513,0.009611833403294044,0.01664363082092322,0.012770358292726542,0.013458551972513319,0.02026636647083421,0.023618112773516647,0.021031486380408915,0.0067344845033892355,0.01758767110470426,0.01782454954424594,0.010106100010420727,0.01482770882350492,0.010112907923109793,0.026057566661824235,0.008656647019530735,0.00692436841058967,0.015046986069343987,0.013634219205545927,0.014798650378781754,0.006469044049105927,0.00879006698504011,0.008199671852607964,0.006285451448320678,0.009106826930575115,0.015297485338357552,0.0054563649942644754,0.005871517379770777,0.010640882858362144,0.009395344019308432,0.015384842333762219,0.0088860814491115,0.0037342369558485207,0.014809170118053189,0.010348528670532894,0.019685708681815302,0.007473160246430745,0.008853762972484054,0.01352689060776618,0.00741075591955102,0.007015283223835214,0.010417131870336212,0.003104123988936269,0.008998948166840314,0.007781333943304477,0.004779726532269841,0.011997192166814824,0.003983762186055123,0.01018940547394232,0.008009947773146038,0.011127582606001685,0.011059019228544539,0.00900759803978265,0.011939194263361057,0.013194140821827153,0.01013158552313634,0.02131357595416131,0.011598726386137608,0.02158599246382746,0.009053678905365048,0.009943752952309586,0.006647325056963737,0.0048496993911013005,0.004001072826102625
40.74238787,-73.99726235,0.004886974661848439,0.006612765496979406,0.007533794961697855,0.0016195098380171608,0.019466418456052147,0.01024261865904995,0.00965693525616411,0.004935722854581561,0.01741799899529437,0.018898426201475957,0.020494682173166745,0.01352475671833895,0.0030991334819927994,0.0019778779395161457,0.03832839877410074,0.014635161272456813,0.02010336480553096,0.002814804944989388,0.004482269620753072,0.011962700523429402,0.008648181183348942,0.006929765867500345,0.00884595419326237,0.0077545395480756295,0.0004115414269457726,0.008959618361470922,0.01090017886349051,0.007194993093434165,0.009493694004530491,0.004248111268384256,0.005514524912386643,0.014418877309155908,0.0034394333276570243,0.004184380725168973,0.016122053645227907,0.01305896690906923,0.00171490113639194,0.016883139446378204,0.01490557865753848,0.007230322715926849,0.005449766879255628,0.0049146326301357825,0.010903189125251771,0.005237778952509017,0.00440625592360426,0.00639584494085851,0.013540102049601297,0.007402074894604156,0.0028894704504531022,0.007595487904362606,0.007575725652968567,0.005639622923788565,0.013200367019669514,0.026227379098533576,0.010749634581927094,0.004662818575790995,0.0085524032547217,0.008069515824242745,0.004112162303266203,0.027547402838689866,0.0039891112675255955,0.006695791499329654,0.00514949271134485,0.007215039271119598,0.005765815898157328,0.0024819925355869534,0.004045054125618006,0.006211149195147792,0.0035820620156200205,0.019303525295524124,0.010373556440235436,0.021412929287473167,0.021032791143620094,0.007260251768402337,0.015293235776118118,0.015338785423322565,0.01594254674521358,0.017449451478276957,0.04591503878084113,0.012269721907576995,0.011454919171607554,0.019955387543525136,0.012378854543701481,0.008615832781017043,0.021678027833492267,0.02043844351402639,0.014493472056361235,0.014929056196731795,0.015046103474904678,0.012756683352042445,0.010960454220748825,0.0019407146907714204
40.74317449,-74.00366443,0.002775130056862728,0.012407858393623458,0.0028024356765198512,0.001976441949526944,0.015072383549861621,0.016953802309961297,0.0077479747309556,0.004120254781847153,0.03566359302232097,0.0626916370744991,0.010106029892437108,0.009678228907533164,0.002069792398238617,0.006055870534446096,0.012836930581851062,0.011537990791276192,0.020764581193422754,0.0019690474929463858,0.009051715360800221,0.011519297410321275,0.010176237931365396,0.009869068402416723,0.015053722850916931,0.013559494025662467,0.0005019728273793793,0.017757394106255785,0.021900143734105714,0.012914234205432652,0.0036372455360988297,0.0017176905523147148,0.0020109178343438554,0.005644742685479579,0.0016308375843326773,0.0033965113930340875,0.04550756982953732,0.01369966917008234,0.0009729261127203694,0.007507861602275147,0.011657109574983528,0.007387726043682226,0.0025485509034111798,0.003636664553959123,0.0035962567953156336,0.0007653217589995153,0.0027014880619376045,0.0016184344892587626,0.0014903118717847176,0.003881086349152111,0.0045023765697547805,0.006803376763220618,0.0028341116762310025,0.006619900376168456,0.009778119156133946,0.012453230556150783,0.010969685804125193,0.008043735530994203,0.010403213597587944,0.01576993350182069,0.010165646206584826,0.006840678271358107,0.005835009787784418,0.009070953979627093,0.017380108444047727,0.004553314872398443,0.007660984974223418,0.002394097357049201,0.0027136096668965866,0.008837033963969388,0.003788724847388996,0.013835754565483768,0.006086026363551072,0.009335614156509358,0.011587134711461765,0.0025129821390875275,0.016406630858587946,0.006269919524571323,0.008219544698467654,0.039474997623546886,0.014615996802962945,0.012382416081775748,0.014286468626913759,0.019767668776680826,0.022938026234884366,0.012094687067360924,0.01033538216537191,0.023392528191189886,0.033739318951605785,0.02167334296636097,0.017386037705711854,0.012599703299309286,0.01358887824720453,0.005510907442394171
